studyName,Sample Number,Species,Island,Individual ID,Clutch Completion,Date Egg,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo)
PAL200708,25,Adelie Penguin (Pygoscelis adeliae),Biscoe,N13A1,Yes,11/10/2007,38.8,17.2,180,3800,MALE,9.63954,-25.29856
PAL200708,26,Adelie Penguin (Pygoscelis adeliae),Biscoe,N13A2,Yes,11/10/2007,35.3,18.9,187,3800,FEMALE,9.21292,-24.3613
PAL200708,27,Adelie Penguin (Pygoscelis adeliae),Biscoe,N17A1,Yes,11/12/2007,40.6,18.6,183,3550,MALE,8.93997,-25.36288
PAL200708,28,Adelie Penguin (Pygoscelis adeliae),Biscoe,N17A2,Yes,11/12/2007,40.5,17.9,187,3200,FEMALE,8.08138,-25.49448
PAL200708,29,Adelie Penguin (Pygoscelis adeliae),Biscoe,N18A1,No,11/10/2007,37.9,18.6,172,3150,FEMALE,8.38404,-25.19837
PAL200708,30,Adelie Penguin (Pygoscelis adeliae),Biscoe,N18A2,No,11/10/2007,40.5,18.9,180,3950,MALE,8.90027,-25.1162009
PAL200708,31,Adelie Penguin (Pygoscelis adeliae),Dream,N21A1,Yes,11/09/2007,39.5,16.7,178,3250,FEMALE,9.69756,-25.11223
PAL200708,32,Adelie Penguin (Pygoscelis adeliae),Dream,N21A2,Yes,11/09/2007,37.2,18.1,178,3900,MALE,9.72764,-25.0102
PAL200708,33,Adelie Penguin (Pygoscelis adeliae),Dream,N22A1,Yes,11/09/2007,39.5,17.8,188,3300,FEMALE,9.66523,-25.0602
PAL200708,34,Adelie Penguin (Pygoscelis adeliae),Dream,N22A2,Yes,11/09/2007,40.9,18.9,184,3900,MALE,8.79665,-25.14591
PAL200708,35,Adelie Penguin (Pygoscelis adeliae),Dream,N23A1,Yes,11/16/2007,36.4,17,195,3325,FEMALE,9.17847,-25.23061
PAL200708,36,Adelie Penguin (Pygoscelis adeliae),Dream,N23A2,Yes,11/16/2007,39.2,21.1,196,4150,MALE,9.15308,-25.03469
PAL200708,37,Adelie Penguin (Pygoscelis adeliae),Dream,N24A1,Yes,11/16/2007,38.8,20,190,3950,MALE,9.18985,-25.12255
PAL200708,38,Adelie Penguin (Pygoscelis adeliae),Dream,N24A2,Yes,11/16/2007,42.2,18.5,180,3550,FEMALE,8.04787,-25.49523
PAL200708,39,Adelie Penguin (Pygoscelis adeliae),Dream,N25A1,No,11/13/2007,37.6,19.3,181,3300,FEMALE,9.41131,-25.04169
PAL200708,40,Adelie Penguin (Pygoscelis adeliae),Dream,N25A2,No,11/13/2007,39.8,19.1,184,4650,MALE,,
PAL200708,41,Adelie Penguin (Pygoscelis adeliae),Dream,N26A1,Yes,11/16/2007,36.5,18,182,3150,FEMALE,9.68933,-24.4228
PAL200708,42,Adelie Penguin (Pygoscelis adeliae),Dream,N26A2,Yes,11/16/2007,40.8,18.4,195,3900,MALE,,
PAL200708,43,Adelie Penguin (Pygoscelis adeliae),Dream,N27A1,Yes,11/19/2007,36,18.5,186,3100,FEMALE,9.5200772,-25.03492
PAL200708,44,Adelie Penguin (Pygoscelis adeliae),Dream,N27A2,Yes,11/19/2007,44.1,19.7,196,4400,MALE,9.2372,-24.52698
PAL200708,45,Adelie Penguin (Pygoscelis adeliae),Dream,N28A1,Yes,11/16/2007,37,16.9,185,3000,FEMALE,9.36392,-25.01745
PAL200708,46,Adelie Penguin (Pygoscelis adeliae),Dream,N28A2,Yes,11/16/2007,39.6,18.8,190,4600,MALE,9.49106,-24.10255
PAL200708,47,Adelie Penguin (Pygoscelis adeliae),Dream,N29A1,Yes,11/13/2007,41.1,19,182,3425,MALE,,
PAL200708,48,Adelie Penguin (Pygoscelis adeliae),Dream,N29A2,Yes,11/13/2007,37.5,18.9,179,2975,,,
PAL200708,49,Adelie Penguin (Pygoscelis adeliae),Dream,N30A1,Yes,11/13/2007,36,17.9,190,3450,FEMALE,9.51784,-25.2007683
PAL200708,50,Adelie Penguin (Pygoscelis adeliae),Dream,N30A2,Yes,11/13/2007,42.3,21.2,191,4150,MALE,8.87988,-25.18543
PAL082009,51,Adelie Penguin (Pygoscelis adeliae),Biscoe,N21A1,Yes,11/06/2008,39.6,17.7,186,3500,FEMALE,8.46616,-26.12989
PAL082009,52,Adelie Penguin (Pygoscelis adeliae),Biscoe,N21A2,Yes,11/06/2008,40.1,18.9,188,4300,MALE,8.51362,-26.55602
PAL082009,53,Adelie Penguin (Pygoscelis adeliae),Biscoe,N22A1,Yes,11/09/2008,35,17.9,190,3450,FEMALE,8.19539,-26.17213
PAL082009,54,Adelie Penguin (Pygoscelis adeliae),Biscoe,N22A2,Yes,11/09/2008,42,19.5,200,4050,MALE,8.4820095,-26.3146
PAL082009,55,Adelie Penguin (Pygoscelis adeliae),Biscoe,N23A1,Yes,11/09/2008,34.5,18.1,187,2900,FEMALE,8.41837,-26.54718
PAL082009,56,Adelie Penguin (Pygoscelis adeliae),Biscoe,N23A2,Yes,11/09/2008,41.4,18.6,191,3700,MALE,8.35396,-26.27853
PAL082009,57,Adelie Penguin (Pygoscelis adeliae),Biscoe,N24A1,Yes,11/15/2008,39,17.5,186,3550,FEMALE,8.57199,-26.2007188
PAL082009,58,Adelie Penguin (Pygoscelis adeliae),Biscoe,N24A2,Yes,11/15/2008,40.6,18.8,193,3800,MALE,8.56674,-25.98843
PAL082009,59,Adelie Penguin (Pygoscelis adeliae),Biscoe,N25A1,Yes,11/15/2008,36.5,16.6,181,2850,FEMALE,9.2007878,-25.88156
PAL082009,60,Adelie Penguin (Pygoscelis adeliae),Biscoe,N25A2,Yes,11/15/2008,37.6,19.1,194,3750,MALE,9.108,-25.89677
PAL082009,61,Adelie Penguin (Pygoscelis adeliae),Biscoe,N27A1,Yes,11/13/2008,35.7,16.9,185,3150,FEMALE,8.96472,-26.4200943
PAL082009,62,Adelie Penguin (Pygoscelis adeliae),Biscoe,N27A2,Yes,11/13/2008,41.3,21.1,195,4400,MALE,8.74802,-26.3782009
PAL082009,63,Adelie Penguin (Pygoscelis adeliae),Biscoe,N28A1,Yes,11/13/2008,37.6,17,185,3600,FEMALE,8.58063,-26.21569
PAL082009,64,Adelie Penguin (Pygoscelis adeliae),Biscoe,N28A2,Yes,11/13/2008,41.1,18.2,192,4050,MALE,8.62264,-26.60023
PAL082009,65,Adelie Penguin (Pygoscelis adeliae),Biscoe,N29A1,Yes,11/13/2008,36.4,17.1,184,2850,FEMALE,8.62623,-26.1165
PAL082009,66,Adelie Penguin (Pygoscelis adeliae),Biscoe,N29A2,Yes,11/13/2008,41.6,18,192,3950,MALE,8.85562,-26.2009294
PAL082009,67,Adelie Penguin (Pygoscelis adeliae),Biscoe,N30A1,Yes,11/06/2008,35.5,16.2,195,3350,FEMALE,8.56192,-25.95541
PAL082009,68,Adelie Penguin (Pygoscelis adeliae),Biscoe,N30A2,Yes,11/06/2008,41.1,19.1,188,4100,MALE,8.7120078,-25.81012
PAL082009,69,Adelie Penguin (Pygoscelis adeliae),Torgersen,N32A1,No,11/11/2008,35.9,16.6,190,3050,FEMALE,8.47781,-26.2007821
PAL082009,70,Adelie Penguin (Pygoscelis adeliae),Torgersen,N32A2,No,11/11/2008,41.8,19.4,198,4450,MALE,8.86853,-26.0622009
PAL082009,71,Adelie Penguin (Pygoscelis adeliae),Torgersen,N34A1,Yes,11/14/2008,33.5,19,190,3600,FEMALE,7.88863,-26.63085
PAL082009,72,Adelie Penguin (Pygoscelis adeliae),Torgersen,N34A2,Yes,11/14/2008,39.7,18.4,190,3900,MALE,9.29808,-25.23453
PAL082009,73,Adelie Penguin (Pygoscelis adeliae),Torgersen,N35A1,Yes,11/11/2008,39.6,17.2,196,3550,FEMALE,8.33524,-26.55351
PAL082009,74,Adelie Penguin (Pygoscelis adeliae),Torgersen,N35A2,Yes,11/11/2008,45.8,18.9,197,4150,MALE,8.18658,-26.45978
PAL082009,75,Adelie Penguin (Pygoscelis adeliae),Torgersen,N36A1,Yes,11/08/2008,35.5,17.5,190,3700,FEMALE,8.70642,-26.15003
PAL082009,76,Adelie Penguin (Pygoscelis adeliae),Torgersen,N36A2,Yes,11/08/2008,42.8,18.5,195,4250,MALE,8.2993,-26.38986
PAL082009,77,Adelie Penguin (Pygoscelis adeliae),Torgersen,N37A1,Yes,11/06/2008,40.9,16.8,191,3700,FEMALE,8.47257,-26.02002
PAL082009,78,Adelie Penguin (Pygoscelis adeliae),Torgersen,N37A2,Yes,11/06/2008,37.2,19.4,184,3900,MALE,8.3554,-26.44787
PAL082009,79,Adelie Penguin (Pygoscelis adeliae),Torgersen,N38A1,Yes,11/09/2008,36.2,16.1,187,3550,FEMALE,7.82381,-26.51382
PAL082009,80,Adelie Penguin (Pygoscelis adeliae),Torgersen,N38A2,Yes,11/09/2008,42.1,19.1,195,4000,MALE,9.05736,-25.81513
PAL082009,81,Adelie Penguin (Pygoscelis adeliae),Torgersen,N39A1,Yes,11/02/2008,34.6,17.2,189,3200,FEMALE,7.69778,-26.5387
PAL082009,82,Adelie Penguin (Pygoscelis adeliae),Torgersen,N39A2,Yes,11/02/2008,42.9,17.6,196,4700,MALE,8.63259,-26.23027
PAL082009,83,Adelie Penguin (Pygoscelis adeliae),Torgersen,N40A1,Yes,11/07/2008,36.7,18.8,187,3800,FEMALE,7.88494,-26.24837
PAL082009,84,Adelie Penguin (Pygoscelis adeliae),Torgersen,N40A2,Yes,11/07/2008,35.1,19.4,193,4200,MALE,8.90002,-26.46254
PAL082009,85,Adelie Penguin (Pygoscelis adeliae),Dream,N41A1,Yes,11/17/2008,37.3,17.8,191,3350,FEMALE,8.32718,-26.38396
PAL082009,86,Adelie Penguin (Pygoscelis adeliae),Dream,N41A2,Yes,11/17/2008,41.3,20.3,194,3550,MALE,9.14863,-26.2009635
PAL082009,87,Adelie Penguin (Pygoscelis adeliae),Dream,N42A1,Yes,11/08/2008,36.3,19.5,190,3800,MALE,8.57087,-26.22227
PAL082009,88,Adelie Penguin (Pygoscelis adeliae),Dream,N42A2,Yes,11/08/2008,36.9,18.6,189,3500,FEMALE,8.59147,-26.08165
PAL082009,89,Adelie Penguin (Pygoscelis adeliae),Dream,N44A1,Yes,11/08/2008,38.3,19.2,189,3950,MALE,9.2007826,-26.12417
PAL082009,90,Adelie Penguin (Pygoscelis adeliae),Dream,N44A2,Yes,11/08/2008,38.9,18.8,190,3600,FEMALE,8.36936,-26.11199
PAL082009,91,Adelie Penguin (Pygoscelis adeliae),Dream,N45A1,Yes,11/14/2008,35.7,18,202,3550,FEMALE,8.46531,-26.05621
PAL082009,92,Adelie Penguin (Pygoscelis adeliae),Dream,N45A2,Yes,11/14/2008,41.1,18.1,205,4300,MALE,8.77018,-25.83352
PAL082009,93,Adelie Penguin (Pygoscelis adeliae),Dream,N46A1,Yes,11/05/2008,34,17.1,185,3400,FEMALE,8.01485,-26.69543
PAL082009,94,Adelie Penguin (Pygoscelis adeliae),Dream,N46A2,Yes,11/05/2008,39.6,18.1,186,4450,MALE,8.49915,-26.42406
PAL082009,95,Adelie Penguin (Pygoscelis adeliae),Dream,N48A1,Yes,11/17/2008,36.2,17.3,187,3300,FEMALE,8.9200723,-26.30037
PAL082009,96,Adelie Penguin (Pygoscelis adeliae),Dream,N48A2,Yes,11/17/2008,40.8,18.9,208,4300,MALE,8.48204,-26.57941
PAL082009,97,Adelie Penguin (Pygoscelis adeliae),Dream,N49A1,Yes,11/08/2008,38.1,18.6,190,3700,FEMALE,8.10277,-26.50086
PAL082009,98,Adelie Penguin (Pygoscelis adeliae),Dream,N49A2,Yes,11/08/2008,40.3,18.5,196,4350,MALE,8.39459,-26.01152
PAL082009,99,Adelie Penguin (Pygoscelis adeliae),Dream,N50A1,Yes,11/10/2008,33.1,16.1,178,2900,FEMALE,9.04218,-26.15775
PAL082009,100,Adelie Penguin (Pygoscelis adeliae),Dream,N50A2,Yes,11/10/2008,43.2,18.5,192,4100,MALE,8.97025,-26.03679
PAL200910,101,Adelie Penguin (Pygoscelis adeliae),Biscoe,N47A1,Yes,11/09/2009,35,17.9,192,3725,FEMALE,8.84451,-26.28055
PAL200910,102,Adelie Penguin (Pygoscelis adeliae),Biscoe,N47A2,Yes,11/09/2009,41,20,203,4725,MALE,9.0120079,-26.38085
PAL200910,103,Adelie Penguin (Pygoscelis adeliae),Biscoe,N49A1,Yes,11/15/2009,37.7,16,183,320075,FEMALE,9.2151,-26.2253
PAL200910,104,Adelie Penguin (Pygoscelis adeliae),Biscoe,N49A2,Yes,11/15/2009,37.8,20,190,4250,MALE,9.51929,-25.69199
PAL200910,105,Adelie Penguin (Pygoscelis adeliae),Biscoe,N51A1,Yes,11/15/2009,37.9,18.6,193,2925,FEMALE,9.02642,-25.86482
PAL200910,106,Adelie Penguin (Pygoscelis adeliae),Biscoe,N51A2,Yes,11/15/2009,39.7,18.9,184,3550,MALE,8.85699,-25.80208
PAL200910,107,Adelie Penguin (Pygoscelis adeliae),Biscoe,N53A1,Yes,11/15/2009,38.6,17.2,199,3750,FEMALE,8.77322,-26.48973
PAL200910,108,Adelie Penguin (Pygoscelis adeliae),Biscoe,N53A2,Yes,11/15/2009,38.2,20,190,3900,MALE,9.59245,-25.7200711
PAL200910,109,Adelie Penguin (Pygoscelis adeliae),Biscoe,N55A1,Yes,11/20/2009,38.1,17,181,3175,FEMALE,9.79532,-25.27385
PAL200910,110,Adelie Penguin (Pygoscelis adeliae),Biscoe,N55A2,Yes,11/20/2009,43.2,19,197,4775,MALE,9.31735,-25.45171
PAL200910,111,Adelie Penguin (Pygoscelis adeliae),Biscoe,N58A1,Yes,11/12/2009,38.1,16.5,198,3825,FEMALE,8.43951,-26.57563
PAL200910,112,Adelie Penguin (Pygoscelis adeliae),Biscoe,N58A2,Yes,11/12/2009,45.6,20.3,191,4600,MALE,8.65466,-26.3292009
PAL200910,113,Adelie Penguin (Pygoscelis adeliae),Biscoe,N60A1,Yes,11/15/2009,39.7,17.7,193,3200,FEMALE,9.02657,-26.06203
PAL200910,114,Adelie Penguin (Pygoscelis adeliae),Biscoe,N60A2,Yes,11/15/2009,42.2,19.5,197,4275,MALE,8.80186,-26.41218
PAL200910,115,Adelie Penguin (Pygoscelis adeliae),Biscoe,N61A1,Yes,11/17/2009,39.6,20.7,191,3900,FEMALE,8.8200967,-26.78958
PAL200910,116,Adelie Penguin (Pygoscelis adeliae),Biscoe,N61A2,Yes,11/17/2009,42.7,18.3,196,420075,MALE,8.91434,-26.42018
PAL200910,117,Adelie Penguin (Pygoscelis adeliae),Torgersen,N63A1,Yes,11/18/2009,38.6,17,188,2900,FEMALE,9.18021,-25.77264
PAL200910,118,Adelie Penguin (Pygoscelis adeliae),Torgersen,N63A2,Yes,11/18/2009,37.3,20.5,199,3775,MALE,9.49645,-26.36678
PAL200910,119,Adelie Penguin (Pygoscelis adeliae),Torgersen,N64A1,Yes,11/22/2009,35.7,17,189,3350,FEMALE,8.96436,-23.9032009
PAL200910,120,Adelie Penguin (Pygoscelis adeliae),Torgersen,N64A2,Yes,11/22/2009,41.1,18.6,189,3325,MALE,9.32277,-26.2009989
PAL200910,121,Adelie Penguin (Pygoscelis adeliae),Torgersen,N66A1,No,11/17/2009,36.2,17.2,187,3150,FEMALE,9.04296,-26.19444
PAL200910,122,Adelie Penguin (Pygoscelis adeliae),Torgersen,N66A2,No,11/17/2009,37.7,19.8,198,3500,MALE,9.11066,-26.42563
PAL200910,123,Adelie Penguin (Pygoscelis adeliae),Torgersen,N67A1,Yes,11/16/2009,40.2,17,176,3450,FEMALE,9.3200722,-25.61039
PAL200910,124,Adelie Penguin (Pygoscelis adeliae),Torgersen,N67A2,Yes,11/16/2009,41.4,18.5,202,3875,MALE,9.59462,-25.42621
PAL200910,125,Adelie Penguin (Pygoscelis adeliae),Torgersen,N69A1,Yes,11/18/2009,35.2,15.9,186,3050,FEMALE,8.81668,-25.95399
PAL200910,126,Adelie Penguin (Pygoscelis adeliae),Torgersen,N69A2,Yes,11/18/2009,40.6,19,199,4000,MALE,9.22537,-25.60826
PAL200910,127,Adelie Penguin (Pygoscelis adeliae),Torgersen,N71A1,Yes,11/21/2009,38.8,17.6,191,3275,FEMALE,8.8820098,-25.89741
PAL200910,128,Adelie Penguin (Pygoscelis adeliae),Torgersen,N71A2,Yes,11/21/2009,41.5,18.3,195,4300,MALE,8.52566,-26.0245
PAL200910,129,Adelie Penguin (Pygoscelis adeliae),Torgersen,N72A1,Yes,11/18/2009,39,17.1,191,3050,FEMALE,9.19031,-25.73722
PAL200910,130,Adelie Penguin (Pygoscelis adeliae),Torgersen,N72A2,Yes,11/18/2009,44.1,18,210,4000,MALE,9.1200702,-26.01363
PAL200910,131,Adelie Penguin (Pygoscelis adeliae),Torgersen,N73A1,No,11/23/2009,38.5,17.9,190,3325,FEMALE,8.9846,-25.57956
PAL200910,132,Adelie Penguin (Pygoscelis adeliae),Torgersen,N73A2,No,11/23/2009,43.1,19.2,197,3500,MALE,8.86495,-26.1396
PAL200910,133,Adelie Penguin (Pygoscelis adeliae),Dream,N76A1,Yes,11/10/2009,36.8,18.5,193,3500,FEMALE,8.98705,-25.57647
PAL200910,134,Adelie Penguin (Pygoscelis adeliae),Dream,N76A2,Yes,11/10/2009,37.5,18.5,199,4475,MALE,8.56708,-26.49288
PAL200910,135,Adelie Penguin (Pygoscelis adeliae),Dream,N77A1,Yes,11/13/2009,38.1,17.6,187,3425,FEMALE,8.717,-25.77951
PAL200910,136,Adelie Penguin (Pygoscelis adeliae),Dream,N77A2,Yes,11/13/2009,41.1,17.5,190,3900,MALE,8.94365,-26.06943
PAL200910,137,Adelie Penguin (Pygoscelis adeliae),Dream,N78A1,Yes,11/16/2009,35.6,17.5,191,3175,FEMALE,8.75984,-25.97696
PAL200910,138,Adelie Penguin (Pygoscelis adeliae),Dream,N78A2,Yes,11/16/2009,40.2,20.1,200,3975,MALE,8.95998,-26.32601
PAL200910,139,Adelie Penguin (Pygoscelis adeliae),Dream,N79A1,No,11/16/2009,37,16.5,185,3400,FEMALE,8.61651,-26.2007021
PAL200910,140,Adelie Penguin (Pygoscelis adeliae),Dream,N79A2,No,11/16/2009,39.7,17.9,193,4250,MALE,9.25769,-25.88798
PAL200910,141,Adelie Penguin (Pygoscelis adeliae),Dream,N80A1,Yes,11/14/2009,40.2,17.1,193,3400,FEMALE,9.2881,-25.54976
PAL200910,142,Adelie Penguin (Pygoscelis adeliae),Dream,N80A2,Yes,11/14/2009,40.6,17.2,187,3475,MALE,9.23408,-26.01549
PAL200910,143,Adelie Penguin (Pygoscelis adeliae),Dream,N81A1,Yes,11/16/2009,32.1,15.5,188,3050,FEMALE,8.79787,-26.6120075
PAL200910,144,Adelie Penguin (Pygoscelis adeliae),Dream,N81A2,Yes,11/16/2009,40.7,17,190,3725,MALE,9.05674,-25.79529
PAL200910,145,Adelie Penguin (Pygoscelis adeliae),Dream,N82A1,Yes,11/16/2009,37.3,16.8,192,3000,FEMALE,9.06829,-25.85203
PAL200910,146,Adelie Penguin (Pygoscelis adeliae),Dream,N82A2,Yes,11/16/2009,39,18.7,185,3650,MALE,9.22033,-26.03442
PAL200910,147,Adelie Penguin (Pygoscelis adeliae),Dream,N83A1,Yes,11/13/2009,39.2,18.6,190,4250,MALE,9.11006,-25.79549
PAL200910,148,Adelie Penguin (Pygoscelis adeliae),Dream,N83A2,Yes,11/13/2009,36.6,18.4,184,3475,FEMALE,8.68744,-25.8306
PAL200910,149,Adelie Penguin (Pygoscelis adeliae),Dream,N84A1,Yes,11/17/2009,36,17.8,195,3450,FEMALE,8.94332,-25.79189
PAL200910,150,Adelie Penguin (Pygoscelis adeliae),Dream,N84A2,Yes,11/17/2009,37.8,18.1,193,3750,MALE,8.97533,-26.03495
PAL200910,151,Adelie Penguin (Pygoscelis adeliae),Dream,N85A1,Yes,11/17/2009,36,17.1,187,3700,FEMALE,8.93465,-26.2007081
PAL200910,152,Adelie Penguin (Pygoscelis adeliae),Dream,N85A2,Yes,11/17/2009,41.5,18.5,201,4000,MALE,8.8964,-26.06967
PAL200708,1,Chinstrap penguin (Pygoscelis antarctica),Dream,N61A1,No,11/19/2007,46.5,17.9,192,3500,FEMALE,9.03935,-24.30229
PAL200708,2,Chinstrap penguin (Pygoscelis antarctica),Dream,N61A2,No,11/19/2007,50,19.5,196,3900,MALE,8.92069,-24.23592
PAL200708,3,Chinstrap penguin (Pygoscelis antarctica),Dream,N62A1,Yes,11/26/2007,51.3,19.2,193,3650,MALE,9.2920078,-24.7557
PAL200708,4,Chinstrap penguin (Pygoscelis antarctica),Dream,N62A2,Yes,11/26/2007,45.4,18.7,188,3525,FEMALE,8.64701,-24.62717
PAL200708,5,Chinstrap penguin (Pygoscelis antarctica),Dream,N64A1,Yes,11/21/2007,52.7,19.8,197,3725,MALE,9.00642,-24.61867
PAL200708,6,Chinstrap penguin (Pygoscelis antarctica),Dream,N64A2,Yes,11/21/2007,45.2,17.8,198,3950,FEMALE,8.88942,-24.49433
PAL200708,7,Chinstrap penguin (Pygoscelis antarctica),Dream,N66A1,Yes,11/28/2007,46.1,18.2,178,3250,FEMALE,8.85664,-24.55644
PAL200708,8,Chinstrap penguin (Pygoscelis antarctica),Dream,N66A2,Yes,11/28/2007,51.3,18.2,197,3750,MALE,8.63701,-24.84059
PAL200708,9,Chinstrap penguin (Pygoscelis antarctica),Dream,N67A1,Yes,11/21/2007,46,18.9,195,4150,FEMALE,8.47173,-24.29229
PAL200708,10,Chinstrap penguin (Pygoscelis antarctica),Dream,N67A2,Yes,11/21/2007,51.3,19.9,198,3700,MALE,8.79581,-24.36088
PAL200708,11,Chinstrap penguin (Pygoscelis antarctica),Dream,N68A1,Yes,11/28/2007,46.6,17.8,193,3800,FEMALE,8.95063,-24.59897
PAL200708,12,Chinstrap penguin (Pygoscelis antarctica),Dream,N68A2,Yes,11/28/2007,51.7,20.3,194,3775,MALE,8.68747,-24.38751
PAL200708,13,Chinstrap penguin (Pygoscelis antarctica),Dream,N69A1,Yes,11/26/2007,47,17.3,185,3700,FEMALE,8.72037,-24.80526
PAL200708,14,Chinstrap penguin (Pygoscelis antarctica),Dream,N69A2,Yes,11/26/2007,52,18.1,201,4050,MALE,9.0233,-24.38933
PAL200708,15,Chinstrap penguin (Pygoscelis antarctica),Dream,N70A1,Yes,11/22/2007,45.9,17.1,190,3575,FEMALE,9.12277,-24.90024
PAL200708,16,Chinstrap penguin (Pygoscelis antarctica),Dream,N70A2,Yes,11/22/2007,50.5,19.6,201,4050,MALE,9.8059,-24.7294
PAL200708,17,Chinstrap penguin (Pygoscelis antarctica),Dream,N71A1,No,11/30/2007,50.3,20,197,3300,MALE,10.02019,-24.54704
PAL200708,18,Chinstrap penguin (Pygoscelis antarctica),Dream,N71A2,No,11/30/2007,58,17.8,181,3700,FEMALE,9.14382,-24.57994
PAL200708,19,Chinstrap penguin (Pygoscelis antarctica),Dream,N72A1,Yes,11/30/2007,46.4,18.6,190,3450,FEMALE,9.32105,-24.64162
PAL200708,20,Chinstrap penguin (Pygoscelis antarctica),Dream,N72A2,Yes,11/30/2007,49.2,18.2,195,4400,MALE,9.27158,-24.64335
PAL200708,21,Chinstrap penguin (Pygoscelis antarctica),Dream,N73A1,Yes,12/03/2007,42.4,17.3,181,3600,FEMALE,9.35138,-24.6879
PAL200708,22,Chinstrap penguin (Pygoscelis antarctica),Dream,N73A2,Yes,12/03/2007,48.5,17.5,191,3400,MALE,9.42666,-24.26375
PAL200708,23,Chinstrap penguin (Pygoscelis antarctica),Dream,N85A1,No,11/28/2007,43.2,16.6,187,2900,FEMALE,9.35416,-25.01185
PAL200708,24,Chinstrap penguin (Pygoscelis antarctica),Dream,N85A2,No,11/28/2007,50.6,19.4,193,3800,MALE,9.28153,-24.97134
